Genes	Left-End-Position	Right-End-Position	Direction	Product
hisJ	2426006	2426788	-	histidine ABC transporter periplasmic binding protein
hisL	2089996	2090046	+	<i>his</i> operon leader peptide
hisM	2424517	2425233	-	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM
hisP	2423736	2424509	-	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit
hisQ	2425230	2425916	-	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisQ
hisR	3982509	3982585	+	tRNA-His(GUG)
hisS	2639301	2640575	-	histidine&mdash;tRNA ligase
hiuH	2038956	2039369	+	hydroxyisourate hydrolase / transthyretin-related protein
hldE	3195320	3196753	-	fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase
hlyE	1229483	1230394	-	hemolysin E
hmp	2685835	2687025	+	nitric oxide dioxygenase
hns	1292509	1292922	-	DNA-binding transcriptional dual regulator H-NS
hofB	115714	117099	-	T2SSE family protein
hofC	114522	115724	-	inner membrane protein HofC
hofM	3521972	3522751	-	DNA utilization protein HofM
hofN	3521433	3521972	-	DNA utilization protein HofN
hofO	3521009	3521449	-	DNA utilization protein HofO
hofP	3520615	3521019	-	DNA utilization protein HofP
hofQ	3519465	3520703	-	DNA utilization protein HofQ
hokA	3720448	3720600	-	small toxic polypeptide
hokB	1491922	1492071	-	toxin HokB
hokC	16751	16903	-	protein HokC
hokD	1645119	1645274	-	Qin prophage; toxic protein HokD
hokE	607836	607988	+	protein HokE
holA	670574	671605	-	DNA polymerase III subunit &delta;
holB	1155762	1156766	+	DNA polymerase III subunit &delta;'
holC	4483837	4484280	-	DNA polymerase III subunit &chi;
holD	4607803	4608216	+	DNA polymerase III subunit &psi;
holE	1925108	1925338	+	DNA polymerase III subunit &theta;
hpf	3346173	3346460	+	ribosome hibernation-promoting factor
hprR	2038152	2038823	-	phosphorylated DNA-binding transcriptional dual regulator HprR // DNA-binding transcriptional dual regulator HprR
hprS	2036794	2038152	-	HprS-<i>N</i>-phospho-L-histidine // sensor histidine kinase HprS
hpt	141431	141967	+	hypoxanthine phosphoribosyltransferase
hrpA	1483061	1486963	+	ATP-dependent RNA helicase HrpA
hrpB	162105	164534	+	RNA-dependent NTPase HrpB
hscA	2657085	2658935	-	iron-sulfur cluster biosynthesis chaperone HscA
hscB	2658952	2659467	-	[Fe-S] cluster biosynthesis co-chaperone HscB
hscC	681723	683393	-	chaperone protein HscC
hsdM	4581459	4583048	-	type I restriction enzyme EcoKI methyltransferase component
hsdR	4583249	4586761	-	type I restriction enzyme EcoKI endonuclease component
hsdS	4580068	4581462	-	type I restriction enzyme EcoKI specificity protein
hslJ	1441321	1441743	-	lipoprotein implicated in Novobiocin resistance
hslO	3529774	3530652	+	molecular chaperone Hsp33
hslR	3529348	3529749	+	heat shock protein Hsp15
hslU	4120416	4121747	-	ATPase component of the HslVU protease
hslV	4121757	4122287	-	peptidase component of the HslVU protease
hspQ	1028404	1028721	-	heat shock protein HspQ
hsrA	3939185	3940612	-	putative transporter HsrA
htpG	495120	496994	+	chaperone protein HtpG
htpX	1911695	1912576	-	protease HtpX
htrE	152829	155426	-	putative fimbrial usher protein HtrE
htrL	3792826	3793683	-	protein HtrL
hupA	4200281	4200553	+	DNA-binding protein HU-&alpha;
hupB	461451	461723	+	DNA-binding protein HU-&beta;
hxpA	2411439	2412089	-	hexitol phosphatase A
hxpB	1809380	1810048	+	hexitol phosphatase B
hyaA	1032139	1033257	+	hydrogenase 1 small subunit
hyaB	1033254	1035047	+	hydrogenase 1 large subunit
hyaC	1035066	1035773	+	hydrogenase 1 cytochrome <i>b</i> subunit
hyaD	1035770	1036357	+	putative hydrogenase 1 maturation protease HyaD
hyaE	1036354	1036752	+	putative HyaA chaperone
hyaF	1036749	1037606	+	protein HyaF
hybA	3144154	3145140	-	hydrogenase 2 iron-sulfur protein
hybB	3142986	3144164	-	hydrogenase 2 membrane subunit
hybC	3141286	3142989	-	hydrogenase 2 large subunit
hybD	3140792	3141286	-	hydrogenase 2 maturation protease
hybE	3140311	3140799	-	hydrogenase 2-specific chaperone
hybF	3139977	3140318	-	hydrogenase maturation protein HybF
hybG	3139716	3139964	-	hydrogenase maturation factor HybG
hybO	3145143	3146261	-	hydrogenase 2 small subunit
hycA	2849974	2850435	-	regulator of the transcriptional regulator FhlA
hycB	2849238	2849849	-	formate hydrogenlyase subunit HycB
hycC	2847415	2849241	-	formate hydrogenlyase subunit HycC
hycD	2846489	2847412	-	formate hydrogenlyase subunit HycD
hycE	2844762	2846471	-	formate hydrogenlyase subunit HycE
hycF	2844210	2844752	-	formate hydrogenlyase subunit HycF
hycG	2843443	2844210	-	formate hydrogenlyase subunit HycG
hycH	2843036	2843446	-	formate hydrogenlyase assembly protein
hycI	2842573	2843043	-	hydrogenase 3 maturation protease
hydN	2837578	2838105	-	putative electron transport protein HydN
hyfA	2601201	2601818	+	hydrogenase 4 component A
hyfB	2601818	2603836	+	hydrogenase 4 component B
hyfC	2603847	2604794	+	hydrogenase 4 component C
hyfD	2604811	2606250	+	hydrogenase 4 component D
hyfE	2606262	2606912	+	hydrogenase 4 component E
hyfF	2606917	2608497	+	hydrogenase 4 component F
hyfG	2608487	2610154	+	hydrogenase 4 catalytic subunit HyfG
hyfH	2610164	2610709	+	hydrogenase 4 component H
hyfI	2610706	2611464	+	hydrogenase 4 catalytic subunit HyfI
hyfJ	2611457	2611870	+	putative hydrogenase 4 assembly protein
hyfR	2611900	2613912	+	DNA-binding transcriptional activator HyfR
hyi	535710	536486	+	hydroxypyruvate isomerase
hypA	2850647	2850997	+	hydrogenase 3 nickel incorporation protein HypA
hypB	2851001	2851873	+	hydrogenase isoenzymes nickel incorporation protein HypB
hypC	2851864	2852136	+	hydrogenase 3 maturation protein HypC
hypD	2852136	2853257	+	Fe-(CN)<sub>2</sub>CO cofactor assembly scaffold protein HypD
hypE	2853254	2854264	+	HypE-S-carboxamide // hydrogenase maturation protein, carbamoyl dehydratase
hypF	2835173	2837425	-	carbamoyl--[HypE] ligase
hypT	4557378	4558289	-	DNA-binding transcriptional dual regulator HypT
hyuA	3010028	3011413	+	phenylhydantoinase
iaaA	866568	867533	+	&beta; cleavage product of IaaA // &alpha; cleavage product of IaaA // isoaspartyl dipeptidase proenzyme
iadA	4558354	4559526	-	isoaspartyl dipeptidase
iap	2876581	2877618	+	alkaline phosphatase isozyme conversion protein
ibaG	3336549	3336803	-	acid stress protein IbaG
ibpA	3867009	3867422	-	small heat shock protein IbpA
ibpB	3866469	3866897	-	small heat shock protein IbpB
ibsA	2153349	2153408	-	toxic peptide IbsA
ibsB	2153681	2153737	-	putative toxic peptide IbsB
ibsC	3056890	3056949	-	toxic peptide IbsC
ibsD	3194766	3194825	+	putative toxic peptide IbsD
ibsE	3195141	3195200	+	toxic peptide IbsE
icd	1195123	1196373	+	isocitrate dehydrogenase
iclR	4222804	4223628	-	DNA-binding transcriptional repressor IclR
idi	3033065	3033613	+	isopentenyl-diphosphate &Delta;-isomerase
idlP	4556913	4556996	+	<i>iraD</i> leader peptide
idnD	4493375	4494406	-	L-idonate 5-dehydrogenase
idnK	4494623	4495186	+	D-gluconate kinase, thermosensitive
idnO	4492587	4493351	-	5-keto-D-gluconate 5-reductase
idnR	4490141	4491139	-	DNA-binding transcriptional dual regulator IdnR
idnT	4491206	4492525	-	L-idonate/5-ketogluconate/gluconate transporter
igaA	3526469	3528604	+	inner membrane protein IgaA
ihfA	1795253	1795552	-	integration host factor subunit &alpha;
ihfB	963828	964112	+	integration host factor subunit &beta;
ileS	22391	25207	+	isoleucine&mdash;tRNA ligase
ileT	4037141	4037217	+	tRNA-Ile(GAU)
ileU	3427076	3427152	-	tRNA-Ile(GAU)
ileV	225381	225457	+	tRNA-Ile(GAU)
ileX	3215598	3215673	+	tRNA-Ile(CAU)
ileY	2785762	2785837	-	tRNA-Ile(CAU)
ilvA	3955331	3956875	+	threonine deaminase
ilvB	3851096	3852784	-	acetohydroxy acid synthase I subunit IlvB
ilvC	3957970	3959445	+	ketol-acid reductoisomerase (NADP<sup>+</sup>)
ilvD	3953478	3955328	+	dihydroxy-acid dehydratase
ilvE	3952484	3953413	+	branched-chain-amino-acid aminotransferase
ilvH	87357	87848	+	acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit
ilvI	85630	87354	+	acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit
ilvL	3950322	3950420	+	<i>ilvXGMEDA</i> operon leader peptide
ilvM	3952201	3952464	+	acetolactate synthase II subunit IlvM
ilvN	3850802	3851092	-	acetohydroxy acid synthase I subunit IlvN
ilvX	3950507	3950557	+	uncharacterized protein IlvX
ilvY	3956927	3957820	-	DNA-binding transcriptional dual regulator IlvY
inaA	2348822	2349472	-	putative lipopolysaccharide kinase InaA
infA	926225	926443	-	translation initiation factor IF-1
infB	3313342	3316014	-	translation initiation factor IF-2
infC	1800096	1800638	-	translation initiation factor IF-3
insA1	20233	20508	-	IS1 protein InsA
insA2	279600	279875	-	IS1 protein InsA
insA3	291071	291346	-	IS1 protein InsA
insA4	1049833	1050108	+	IS1 protein InsA
insA5	1978940	1979215	-	IS1 protein InsA
insA6	3583483	3583758	+	IS1 protein InsA
insA7	4518527	4518802	+	KpLE2 phage-like element; IS1 repressor protein InsA
insA9	258345	258620	-	IS1 repressor TnpA
insAB1	19811	20508	-	InsAB' transposase
insAB2	279178	279875	-	InsAB' transposase
insAB3	290649	291346	-	InsAB' transposase
insAB4	1049833	1050530	+	InsAB' transposase
insAB5	1978518	1979215	-	InsAB' transposase
insAB6	3583483	3584180	+	InsAB' transposase
insB1	19811	20314	-	IS1 protein InsB
insB2	279178	279681	-	IS1 protein InsB
insB3	290649	291152	-	IS1 protein InsB
insB4	1050027	1050530	+	IS1 protein InsB
insB5	1978518	1979021	-	IS1 protein InsB
insB6	3583677	3584180	+	IS1 protein InsB
insB9	257923	258426	-	IS1 transposase B
insC1	381351	381716	+	IS2 element protein InsA
insC2	1468784	1469149	-	IS2 insertion element repressor InsA
insC3	2069815	2070180	-	CP4-44 prophage; IS2 insertion element repressor InsA
insC4	2997235	2997600	-	IS2 insertion element repressor InsA
insC5	3186187	3186552	+	IS2 insertion element repressor InsA
insC6	4498272	4498637	+	KpLE2 phage-like element; IS2 insertion element repressor InsA
insCD1	381351	382579	+	IS2 element transposase InsAB'
insCD2	1467921	1469149	-	IS2 element transposase InsAB'
insCD3	2068952	2070180	-	IS2 element transposase InsAB'
insCD4	2996372	2997600	-	IS2 element transposase InsAB'
insCD5	3186187	3187415	+	IS2 element transposase InsAB'
insCD6	4498272	4499500	+	IS2 element transposase InsAB'
insD1	381674	382579	+	IS2 element protein
insD2	1467921	1468826	-	IS2 insertion element protein InsB
insD3	2068952	2069857	-	CP4-44 prophage; IS2 insertion element protein InsB
insD4	2996372	2997277	-	IS2 insertion element protein InsB
insD5	3186510	3187415	+	IS2 insertion element protein InsB
insD6	4498595	4499500	+	KpLE2 phage-like element; IS2 insertion element protein InsB
insD7	1650881	1651537	+	Qin prophage; putative transposase
insE1	315291	315590	+	IS3 element protein InsE
insE2	392602	392901	-	IS3 element protein InsE
insE3	566842	567141	+	DLP12 prophage; IS3 element protein InsE
insE4	1095138	1095437	-	IS3 element protein InsE
insE5	2170236	2170535	+	IS3 element protein InsE
insEF1	315291	316453	+	IS3 element transposase
insEF2	391739	392901	-	IS3 element transposase
insEF3	566842	568004	+	IS3 element transposase
insEF4	1094275	1095437	-	IS3 element transposase
insEF5	2170236	2171398	+	IS3 element transposase
insF1	315587	316453	+	IS3 element protein InsF
insF2	391739	392605	-	IS3 element protein InsF
insF3	567138	568004	+	DLP12 prophage; IS3 element protein InsF
insF4	1094275	1095141	-	IS3 element protein InsF
insF5	2170532	2171398	+	IS3 element protein InsF
insG	4502103	4503431	-	KpLE2 phage-like element; IS<i>4</i> putative transposase
insH1	274101	275081	-	CP4-6 prophage; IS<i>5</i> transposase and trans-activator
insH10	3365702	3366682	-	IS<i>5</i> transposase and trans-activator
insH11	3652182	3653162	-	IS<i>5</i> transposase and trans-activator
insH2	574737	575717	-	DLP12 prophage; IS<i>5</i> transposase and trans-activator
insH21	1299567	1300547	+	IS<i>5</i> transposase and trans-activator
insH3	687997	688977	-	IS<i>5</i> transposase and trans-activator
insH4	1396112	1397092	+	IS<i>5</i> transposase and trans-activator
insH5	1427746	1428726	-	Rac prophage; IS<i>5</i> transposase and trans-activator
insH6	2066305	2067285	-	CP4-44 prophage; IS<i>5</i> transposase and trans-activator
insH7	2101895	2102875	-	IS<i>5</i> transposase and trans-activator
insH8	2289065	2290045	-	IS<i>5</i> transposase and trans-activator
insH9	3130214	3131194	+	IS<i>5</i> transposase and trans-activator
insI1	270603	271754	+	IS30 transposase
insI2	1469358	1470509	+	IS30 transposase
insI3	4507466	4508617	-	KpLE2 phage-like element; IS30 transposase
insJ	3720680	3721201	+	insertion element IS150 protein InsA
insJK	3720680	3722049	+	IS150 protein InsAB
insK	3721198	3722049	+	IS150 conserved protein InsB
insL1	15445	16557	+	IS186/IS421 transposase
insL2	608065	609177	+	IS186/IS421 transposase
insL3	2514331	2515443	+	putative IS186/IS421 transposase
insN			+	CP4-6 prophage; IS911A regulator fragment
insO			+	KpLE2 phage-like element; IS911B regulator fragment
insQ	1503717	1504865	+	putative insertion element transposase InsQ
intA	2756159	2757400	+	CP4-57 prophage; integrase IntA
intB	4496750	4497940	+	KpLE2 phage-like element; putative integrase
intD	564815	565978	-	DLP12 prophage; putative integrase
intE	1199679	1200806	-	e14 prophage; putative integrase
intF	295696	297096	-	CP4-6 prophage; putative phage integrase
intQ	1651512	1652708	+	Qin prophage; putative defective integrase
intR	1412000	1413235	-	Rac prophage; putative integrase
intS	2466545	2467702	+	CPS-53 (KpLE1) prophage; prophage CPS-53 integrase
intZ	2558858	2560066	+	CPZ-55 prophage; putative phage integrase IntZ
ipeX	574367	574515	-	small RNA IpeX
iprA	394506	395129	+	putative DNA-binding transcriptional regulator IprA
iraD	4556993	4557385	+	anti-adaptor protein IraD, inhibitor of &sigma;<sup>S</sup> proteolysis
iraM	1211680	1212003	-	anti-adaptor protein IraM, inhibitor of &sigma;<sup>S</sup> proteolysis
iraP	401386	401646	+	anti-adaptor protein for &sigma;<sup>S</sup> stabilization
iroK	2668006	2668071	-	protein IroK
iscA	2659563	2659886	-	iron-sulfur cluster insertion protein IscA
iscR	2661643	2662131	-	DNA-binding transcriptional dual regulator IscR
iscS	2660317	2661531	-	cysteine desulfurase IscS
iscU	2659903	2660289	-	scaffold protein for iron-sulfur cluster assembly
iscX	2656536	2656736	-	accessory iron-sulfur cluster assembly protein IscX
ispA	440202	441101	-	geranyl diphosphate/farnesyl diphosphate synthase
ispB	3333710	3334681	+	<i>all-trans</i>-octaprenyl-diphosphate synthase
ispD	2871780	2872490	-	2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase
ispE	1262026	1262877	-	4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase
ispF	2871301	2871780	-	2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase
ispG	2640686	2641804	-	(<em>E</em>)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)
ispH	26277	27227	+	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase
isrC	2071317	2071511	+	CP4-44 prophage; small RNA IsrC
istR	3853118	3853257	-	small regulatory RNA IstR-1 // small RNA IstR-2
istR-1	3853118	3853192	-	
ivbL	3852890	3852988	-	<i>ilvBN</i> operon leader peptide
ivy	240343	240816	+	periplasmic chaperone, inhibitor of vertebrate C-type lysozyme
katE	1813867	1816128	+	catalase HPII
katG	4133835	4136015	+	catalase/hydroperoxidase HPI
kbaY	3283143	3284003	+	tagatose-1,6-bisphosphate aldolase 1 subunit KbaY
kbaZ	3278914	3280194	+	tagatose-1,6-bisphosphate aldolase 1 subunit KbaZ
kbl	3791355	3792551	-	2-amino-3-ketobutyrate CoA ligase
kbp	2796337	2796786	-	K<sup>+</sup> binding protein
kch	1309016	1310269	-	K<sup>+</sup> channel Kch
kdgK	3679419	3680348	+	2-dehydro-3-deoxygluconokinase
kdgR	1909308	1910099	-	DNA-binding transcriptional repressor KdgR
kdgT	4101690	4102673	+	2-dehydro-3-deoxy-D-gluconate:H<sup>+</sup> symporter
kdpA	727059	728732	-	K<sup>+</sup> transporting P-type ATPase subunit KdpA
kdpB	724988	727036	-	K<sup>+</sup> transporting P-type ATPase subunit KdpB
kdpC	724407	724979	-	K<sup>+</sup> transporting P-type ATPase subunit KdpC
kdpD	721730	724414	-	sensor histidine kinase KdpD
kdpE	721056	721733	-	KdpE-Phosphorylated // DNA-binding transcriptional activator KdpE
kdpF	728732	728821	-	K<sup>+</sup> transporting P-type ATPase subunit KdpF
kdsA	1268165	1269019	+	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase
kdsB	970852	971598	+	3-deoxy-<i>manno</i>-octulosonate cytidylyltransferase
kdsC	3342273	3342839	+	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase KdsC
kdsD	3341266	3342252	+	D-arabinose 5-phosphate isomerase KdsD
kduD	2982497	2983258	-	putative 2-keto-3-deoxy-D-gluconate dehydrogenase
kduI	2983288	2984124	-	5-dehydro-4-deoxy-D-glucuronate isomerase
kefB	3478802	3480607	-	K+ : H+ antiporter KefB
kefC	47769	49631	+	K<sup>+</sup> : H<sup>+</sup> antiporter KefC
kefF	47246	47776	+	regulator of KefC-mediated potassium transport and quinone oxidoreductase
kefG	3480607	3481161	-	glutathione-regulated potassium-efflux system ancillary protein KefG
kgtP	2724448	2725746	-	&alpha;-ketoglutarate:H<sup>+</sup> symporter
kilR	1418008	1418229	-	Rac prophage; inhibitor of FtsZ
kptA	4560930	4561484	+	RNA 2'-phosphotransferase
kup	3931316	3933184	+	K<sup>+</sup>:H<sup>+</sup> symporter Kup
lacA	361249	361860	-	galactoside <i>O</i>-acetyltransferase
lacI	366428	367510	-	DNA-binding transcriptional repressor LacI
lacY	361926	363179	-	lactose permease
lacZ	363231	366305	-	&beta;-galactosidase
lamB	4247971	4249311	+	maltose outer membrane channel / phage lambda receptor protein
lapA	1340243	1340551	+	lipopolysaccharide assembly protein A
lapB	1340558	1341727	+	lipopolysaccharide assembly protein B
ldcA	1242166	1243080	-	murein L,D-carboxypeptidase
ldcC	209679	211820	+	lysine decarboxylase 2
ldhA	1441854	1442843	-	D-lactate dehydrogenase
ldrA	1269168	1269275	-	small toxic polypeptide LdrA
ldrB	1269703	1269810	-	small toxic polypeptide LdrB
ldrC	1270238	1270345	-	small toxic polypeptide LdrC
ldrD	3699980	3700087	-	small toxic polypeptide LdrD
ldtA	2062391	2063323	-	L,D-transpeptidase LdtA
ldtB	854824	855744	-	L,D-transpeptidase LdtB
ldtC	1169412	1170374	-	L,D-transpeptidase LdtC
ldtD	981047	982894	+	L,D-transpeptidase LdtD
ldtE	1757721	1758725	-	L,D-transpeptidase LdtE
ldtF	245065	245805	-	L,D-transpeptidase domain-containing protein LdtF
lepA	2705325	2707124	-	30S ribosomal subunit biogenesis factor LepA
lepB	2704335	2705309	-	signal peptidase I
letA	1916258	1917541	+	intermembrane transport protein LetA
letB	1917510	1920143	+	lipophilic envelope spanning tunnel
leuA	81958	83529	-	2-isopropylmalate synthase
leuB	80867	81958	-	3-isopropylmalate dehydrogenase
leuC	79464	80864	-	3-isopropylmalate dehydratase subunit LeuC
leuD	78848	79453	-	3-isopropylmalate dehydratase subunit LeuD
leuE	1880121	1880759	-	leucine exporter
leuL	83622	83708	-	<i>leu</i> operon leader peptide
leuO	84368	85312	+	DNA-binding transcriptional dual regulator LeuO
leuP	4606200	4606286	-	tRNA-Leu(CAG)
leuQ	4606315	4606401	-	tRNA-Leu(CAG)
leuS	672201	674783	-	leucine&mdash;tRNA ligase
leuT	3982606	3982692	+	tRNA-Leu(CAG)
leuU	3322072	3322158	-	tRNA-Leu(GAG)
leuV	4606079	4606165	-	tRNA-Leu(CAG)
leuW	696963	697047	-	tRNA-Leu(UAG)
leuX	4496405	4496489	+	tRNA-Leu(CAA)
leuZ	1991815	1991901	-	tRNA-Leu(UAA)
lexA	4257115	4257723	+	DNA-binding transcriptional repressor LexA
lgoD	4595990	4597012	+	L-galactonate oxidoreductase
lgoR	4594937	4595851	-	putative DNA-binding transcriptional regulator LgoR
lgoT	4593361	4594722	-	galactonate:H+ symporter
lgt	2965162	2966037	-	phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
lhgD	2789982	2791250	+	L-2-hydroxyglutarate dehydrogenase
lhr	1729087	1733703	+	putative ATP-dependent helicase Lhr
ligA	2528161	2530176	-	DNA ligase
ligB	3819488	3821170	-	DNA ligase B
lipA	659251	660216	-	lipoyl synthase
lipB	661637	662278	-	lipoyl(octanoyl) transferase
lit	1198695	1199588	+	e14 prophage; cell death peptidase Lit
livF	3592724	3593437	-	branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivF
livG	3593439	3594206	-	branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG
livH	3595477	3596403	-	branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH
livJ	3598555	3599658	-	branched chain amino acid/phenylalanine ABC transporter periplasmic binding protein
livK	3596451	3597560	-	L-leucine/L-phenylalanine ABC transporter periplasmic binding protein
livM	3594203	3595480	-	branched chain amino acid/phenylalanine ABC transporter membrane subunit LivM
lldD	3779827	3781017	+	L-lactate dehydrogenase
lldP	3777399	3779054	+	lactate/glycolate:H<sup>+</sup> symporter LldP
lldR	3779054	3779830	+	DNA-binding transcriptional dual regulator LldR
lnt	689343	690881	-	apolipoprotein <i>N</i>-acyltransferase
loiP	3081913	3082671	+	metalloprotease LoiP
lolA	937372	937983	+	outer membrane lipoprotein carrier protein
lolB	1262877	1263500	-	outer membrane lipoprotein LolB
lolC	1175427	1176626	+	lipoprotein release complex - inner membrane subunit
lolD	1176619	1177320	+	lipoprotein release complex - ATP binding subunit
lolE	1177320	1178564	+	lipoprotein release complex - inner membrane subunit
lomR			+	Rac prophage; protein LomR_1
lon	458888	461242	+	Lon protease
lpd	127912	129336	+	lipoamide dehydrogenase
lplA	4623101	4624117	-	lipoate&mdash;protein ligase A
lplT	2972669	2973862	-	lysophospholipid transporter
lpoA	3293400	3295436	+	outer membrane lipoprotein - activator of MrcA activity
lpoB	1162638	1163279	+	outer membrane lipoprotein - activator of MrcB activity
lpp	1757421	1757657	+	murein lipoprotein
lptA	3343380	3343937	+	lipopolysaccharide transport system protein LptA
lptB	3343944	3344669	+	lipopolysaccharide transport system ATP binding protein LptB
lptC	3342836	3343411	+	lipopolysaccharide transport system protein LptC
lptD	54755	57109	-	lipopolysaccharide assembly protein LptD
lptE	671605	672186	-	lipopolysaccharide assembly protein LptE
lptF	4486218	4487318	+	lipopolysaccharide transport system protein LptF
lptG	4487318	4488400	+	lipopolysaccharide transport system protein LptG
lpxA	202560	203348	+	acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase
lpxB	203348	204496	+	lipid A disaccharide synthase
lpxC	106557	107474	+	UDP-3-O-acyl-N-acetylglucosamine deacetylase
lpxD	200971	201996	+	UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase
lpxH	553218	553940	-	UDP-2,3-diacylglucosamine diphosphatase
lpxK	968366	969352	+	tetraacyldisaccharide 4'-kinase
lpxL	1115662	1116582	-	lauroyl acyltransferase
lpxM	1939222	1940193	-	Lipid A biosynthesis myristoyltransferase
lpxP	2495645	2496565	+	palmitoleoyl acyltransferase
lpxT	2268854	2269567	+	Kdo<sub>2</sub>-lipid A phosphotransferase
lrhA	2405703	2406641	-	DNA-binding transcriptional dual regulator LrhA
lrp	932595	933089	+	DNA-binding transcriptional dual regulator Lrp
lspA	25207	25701	+	lipoprotein signal peptidase
lsrA	1601490	1603025	+	Autoinducer-2 ABC transporter ATP binding subunit
lsrB	1605051	1606073	+	Autoinducer-2 ABC transporter periplasmic binding protein
lsrC	1603019	1604047	+	Autoinducer-2 ABC transporter membrane subunit LsrC
lsrD	1604047	1605039	+	Autoinducer-2 ABC transporter membrane subunit LsrD
lsrF	1606100	1606975	+	3-hydroxy-2,4-pentadione 5-phosphate thiolase
lsrG	1606999	1607289	+	(4<i>S</i>)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase
lsrK	1598617	1600209	-	autoinducer-2 kinase
lsrR	1600288	1601241	-	DNA-binding transcriptional repressor LsrR
ltaE	908293	909294	-	low-specificity L-threonine aldolase
luxS	2814218	2814733	-	<i>S</i>-ribosylhomocysteine lyase
lysA	2977637	2978899	-	diaminopimelate decarboxylase
lysC	4231884	4233233	-	aspartate kinase III
lysO	913958	914857	-	L-lysine exporter
lysP	2247063	2248532	-	lysine:H+ symporter
lysQ	781577	781652	+	tRNA-Lys(UUU)
lysR	2979021	2979956	+	DNA-binding transcriptional dual regulator LysR
lysS	3033657	3035174	-	lysine&mdash;tRNA ligase, constitutive
lysT	780554	780629	+	tRNA-Lys(UUU)
lysU	4353200	4354717	-	lysine&mdash;tRNA ligase/Ap<sub>4</sub>A synthetase/Ap<sub>3</sub>A synthetase
lysV	2521253	2521328	+	tRNA-Lys(UUU)
lysW	780843	780918	+	tRNA-Lys(UUU)
lysY	781147	781222	+	tRNA-Lys(UUU)
lysZ	781369	781444	+	tRNA-Lys(UUU)
lyxK	3747084	3748580	+	L-xylulose kinase
maa	479367	479918	-	maltose <i>O</i>-acetyltransferase
macA	919235	920350	+	ABC-type tripartite efflux pump membrane fusion protein
macB	920347	922293	+	ABC-type tripartite efflux pump ATP binding/membrane subunit
maeA	1553972	1555669	-	NAD<sup>+</sup>-dependent malate dehydrogenase
maeB	2576098	2578377	-	NADP<sup>+</sup>-dependent malate dehydrogenase
mak	410144	411052	+	fructokinase
malE	4245229	4246419	-	maltose ABC transporter periplasmic binding protein
malF	4243531	4245075	-	maltose ABC transporter membrane subunit MalF
malG	4242626	4243516	-	maltose ABC transporter membrane subunit MalG
malI	1698152	1699180	-	DNA-binding transcriptional repressor MalI
malK	4246784	4247899	+	maltose ABC transporter ATP binding subunit
malM	4249554	4250474	+	maltose regulon periplasmic protein
malP	3550080	3552473	-	maltodextrin phosphorylase
malQ	3547986	3550070	-	4-&alpha;-glucanotransferase
malS	3737497	3739527	+	alpha-amylase
malT	3553085	3555790	+	DNA-binding transcriptional activator MalT
malX	1699355	1700947	+	PTS enzyme IIBC component MalX
malY	1700957	1702129	+	negative regulator of MalT activity/cystathionine &beta;-lyase
malZ	422518	424332	+	maltodextrin glucosidase
manA	1688576	1689751	+	mannose-6-phosphate isomerase
manX	1902048	1903019	+	mannose-specific PTS enzyme IIAB component
manY	1903082	1903882	+	mannose-specific PTS enzyme IIC component
manZ	1903895	1904746	+	mannose-specific PTS enzyme IID component
maoP	3948086	3948424	+	macrodomain Ori protein
map	188712	189506	-	methionine aminopeptidase
marA	1619574	1619957	+	DNA-binding transcriptional dual regulator MarA
marB	1619989	1620207	+	multiple antibiotic resistance protein MarB
marC	1618243	1618908	-	inner membrane protein MarC
marR	1619120	1619554	+	DNA-binding transcriptional repressor MarR
matP	1018485	1018937	+	macrodomain Ter protein
mazE	2911091	2911339	-	antitoxin of the MazF-MazE toxin-antitoxin system MazE
mazF	2910756	2911091	-	endoribonuclease toxin MazF
mazG	2909894	2910685	-	nucleoside triphosphate pyrophosphohydrolase
mbiA	10830	11315	+	uncharacterized protein MbiA
mcaS	1405658	1405751	-	small regulatory RNA McaS
mcbA	841796	842056	-	DUF1471 domain-containing protein McbA
